"ticker","years_since_dividend_decrease"
"BCE.TO",1
"CAS.TO",24
"CGO.TO",17
"CM.TO",31
"CNQ.TO",4
"CPX.TO",17
"CTC-A.TO",38
"CU.TO",13
"CVE.TO",2
"EMA.TO",14
"ENB.TO",31
"ENGH.TO",5
"FTS.TO",31
"PPL.TO",21
"SLF.TO",26
"SOBO.TO",1
"T.TO",6
"TD.TO",31
"TRP.TO",2
"WTE.TO",2
